"_ID_";"_MODEL_";"_NAME_";"_SKU_";"_PRICE_";"_CATEGORY_";"_QUANTITY_";"_PRODUCT_IMAGES_";"_MANUFACTURER_";"_DESCRIPTION_";"_ATTRIBUTES_";"Вид (ROZETKA)";"Вид изделия (PROM)";"_ATTRIBUTES_";"_CATEGORY_";"_PRODUCT_IMAGES_"
29352539;29352539;"Майка George 5 шт 86-92 см Цветные 5059183514687";"5059183514687";265;-1;1;1;"George";"&nbsp;George — известный английский бренд, который производит одежду, обувь, нижнее белье, косметику, аксессуары в невысоком ценовом сегменте. <BR>&nbsp;&nbsp; Над коллекциями бренда работают креативные дизайнеры, а в производстве используются современные технологии. <BR>&nbsp;&nbsp; Сегодня George — это одна из самых крупных сетей в Европе. Ее покупатели – это молодые люди, которые хотят недорого и стильно одеваться, выглядеть на все 100% и с каждой новой коллекцией менять свой образ.<BR>&nbsp;&nbsp; Нижнее детское белье George пользуется высокой популярностью, ведь при пошиве изделий используються качественные материалы.<BR>&nbsp; Страна изготовитель нижнего белья - Бангладеш. ";"";"";"";"1.5 года,2 года";"Одежда, обувь и аксессуары,Одежда,Детская одежда,Одежда для мальчиков,Нижнее белье,Майка";http://134.249.121.87/Rozetka/Photo/29352539.jpg
29352417;29352417;"Майка George 5 шт 98-104 см Белый + Фиолетовый 5059186862112";"5059186862112";295;-1;1;1;"George";"&nbsp;George — известный английский бренд, который производит одежду, обувь, нижнее белье, косметику, аксессуары в невысоком ценовом сегменте. <BR>&nbsp;&nbsp; Над коллекциями бренда работают креативные дизайнеры, а в производстве используются современные технологии. <BR>&nbsp;&nbsp; Сегодня George — это одна из самых крупных сетей в Европе. Ее покупатели – это молодые люди, которые хотят недорого и стильно одеваться, выглядеть на все 100% и с каждой новой коллекцией менять свой образ.<BR>&nbsp;&nbsp; Нижнее детское белье George пользуется высокой популярностью, ведь при пошиве изделий используються качественные материалы.<BR>&nbsp; Страна изготовитель нижнего белья - Бангладеш. ";"";"";"";"3 года,3.5 года,4 года";"Одежда, обувь и аксессуары,Одежда,Детская одежда,Одежда для девочек,Нижнее белье для девочек,Майка";http://134.249.121.87/Rozetka/Photo/29352417.jpg
29352515;29352515;"Майка George 5 шт 110-116 см Белый + Серый 5059187042858";"5059187042858";295;-1;3;1;"George";"&nbsp;George — известный английский бренд, который производит одежду, обувь, нижнее белье, косметику, аксессуары в невысоком ценовом сегменте. <BR>&nbsp;&nbsp; Над коллекциями бренда работают креативные дизайнеры, а в производстве используются современные технологии. <BR>&nbsp;&nbsp; Сегодня George — это одна из самых крупных сетей в Европе. Ее покупатели – это молодые люди, которые хотят недорого и стильно одеваться, выглядеть на все 100% и с каждой новой коллекцией менять свой образ.<BR>&nbsp;&nbsp; Нижнее детское белье George пользуется высокой популярностью, ведь при пошиве изделий используються качественные материалы.<BR>&nbsp; Страна изготовитель нижнего белья - Бангладеш. ";"";"";"";"5 лет,6 лет";"Одежда, обувь и аксессуары,Одежда,Детская одежда,Одежда для мальчиков,Нижнее белье,Майка";http://134.249.121.87/Rozetka/Photo/29352515.jpg
29352530;29352530;"Майка George 5 шт 98-104 см Серый + Зеленый +  Черный 5059188452274";"5059188452274";295;-1;3;1;"George";"&nbsp;George — известный английский бренд, который производит одежду, обувь, нижнее белье, косметику, аксессуары в невысоком ценовом сегменте. <BR>&nbsp;&nbsp; Над коллекциями бренда работают креативные дизайнеры, а в производстве используются современные технологии. <BR>&nbsp;&nbsp; Сегодня George — это одна из самых крупных сетей в Европе. Ее покупатели – это молодые люди, которые хотят недорого и стильно одеваться, выглядеть на все 100% и с каждой новой коллекцией менять свой образ.<BR>&nbsp;&nbsp; Нижнее детское белье George пользуется высокой популярностью, ведь при пошиве изделий используються качественные материалы.<BR>&nbsp; Страна изготовитель нижнего белья - Бангладеш. ";"";"";"";"3 года,3.5 года,4 года";"Одежда, обувь и аксессуары,Одежда,Детская одежда,Одежда для мальчиков,Нижнее белье,Майка";http://134.249.121.87/Rozetka/Photo/29352530.jpg
29352531;29352531;"Майка George 5 шт 104-110 см Серый + Зеленый +  Черный 5059188452298";"5059188452298";295;-1;2;1;"George";"&nbsp;George — известный английский бренд, который производит одежду, обувь, нижнее белье, косметику, аксессуары в невысоком ценовом сегменте. <BR>&nbsp;&nbsp; Над коллекциями бренда работают креативные дизайнеры, а в производстве используются современные технологии. <BR>&nbsp;&nbsp; Сегодня George — это одна из самых крупных сетей в Европе. Ее покупатели – это молодые люди, которые хотят недорого и стильно одеваться, выглядеть на все 100% и с каждой новой коллекцией менять свой образ.<BR>&nbsp;&nbsp; Нижнее детское белье George пользуется высокой популярностью, ведь при пошиве изделий используються качественные материалы.<BR>&nbsp; Страна изготовитель нижнего белья - Бангладеш. ";"";"";"";"4 года,5 лет";"Одежда, обувь и аксессуары,Одежда,Детская одежда,Одежда для мальчиков,Нижнее белье,Майка";http://134.249.121.87/Rozetka/Photo/29352531.jpg
29352521;29352521;"Трусы George 10 шт 92-98 см Серый + Зеленый 5059184853136";"5059184853136";260;-1;4;1;"George";"&nbsp;George — известный английский бренд, который производит одежду, обувь, нижнее белье, косметику, аксессуары в невысоком ценовом сегменте. <BR>&nbsp;&nbsp; Над коллекциями бренда работают креативные дизайнеры, а в производстве используются современные технологии. <BR>&nbsp;&nbsp; Сегодня George — это одна из самых крупных сетей в Европе. Ее покупатели – это молодые люди, которые хотят недорого и стильно одеваться, выглядеть на все 100% и с каждой новой коллекцией менять свой образ.<BR>&nbsp;&nbsp; Нижнее детское белье George пользуется высокой популярностью, ведь при пошиве изделий используються качественные материалы.<BR>&nbsp; Страна изготовитель нижнего белья - Бангладеш. ";"";"";"Трусики";"2 года,2.5 года,3 года";"Одежда, обувь и аксессуары,Одежда,Детская одежда,Одежда для мальчиков,Нижнее белье,Трусы";http://134.249.121.87/Rozetka/Photo/29352521.jpg
29352520;29352520;"Трусы George 10 шт 98-104 см Серый + Зеленый 5059184853150";"5059184853150";260;-1;4;1;"George";"&nbsp;George — известный английский бренд, который производит одежду, обувь, нижнее белье, косметику, аксессуары в невысоком ценовом сегменте. <BR>&nbsp;&nbsp; Над коллекциями бренда работают креативные дизайнеры, а в производстве используются современные технологии. <BR>&nbsp;&nbsp; Сегодня George — это одна из самых крупных сетей в Европе. Ее покупатели – это молодые люди, которые хотят недорого и стильно одеваться, выглядеть на все 100% и с каждой новой коллекцией менять свой образ.<BR>&nbsp;&nbsp; Нижнее детское белье George пользуется высокой популярностью, ведь при пошиве изделий используються качественные материалы.<BR>&nbsp; Страна изготовитель нижнего белья - Бангладеш. ";"";"";"Трусики";"3 года,3.5 года,4 года";"Одежда, обувь и аксессуары,Одежда,Детская одежда,Одежда для мальчиков,Нижнее белье,Трусы";http://134.249.121.87/Rozetka/Photo/29352520.jpg
29352389;29352389;"Трусы George 10 шт 92-98 см Голубой + Желтый + Серый 5059185246951";"5059185246951";275;-1;1;1;"George";"&nbsp; George — известный английский бренд, который производит одежду, обувь, нижнее белье, косметику, аксессуары в невысоком ценовом сегменте. <BR>&nbsp;&nbsp; Над коллекциями бренда работают креативные дизайнеры, а в производстве используются современные технологии. <BR>&nbsp;&nbsp; Сегодня George — это одна из самых крупных сетей в Европе. Ее покупатели – это молодые люди, которые хотят недорого и стильно одеваться, выглядеть на все 100% и с каждой новой коллекцией менять свой образ.<BR>&nbsp;&nbsp; Нижнее детское белье George пользуется высокой популярностью, ведь при пошиве изделий используються качественные материалы.<BR>&nbsp; Страна изготовитель нижнего белья - Бангладеш. ";"";"";"Трусики";"2 года,2.5 года,3 года";"Одежда, обувь и аксессуары,Одежда,Детская одежда,Одежда для мальчиков,Нижнее белье,Трусы";http://134.249.121.87/Rozetka/Photo/29352389.jpg
29352405;29352405;"Трусы George 10 шт 86-92 см Белый + Фиолетовый 5059186859631";"5059186859631";300;-1;2;1;"George";"&nbsp;George — известный английский бренд, который производит одежду, обувь, нижнее белье, косметику, аксессуары в невысоком ценовом сегменте. <BR>&nbsp;&nbsp; Над коллекциями бренда работают креативные дизайнеры, а в производстве используются современные технологии. <BR>&nbsp;&nbsp; Сегодня George — это одна из самых крупных сетей в Европе. Ее покупатели – это молодые люди, которые хотят недорого и стильно одеваться, выглядеть на все 100% и с каждой новой коллекцией менять свой образ.<BR>&nbsp;&nbsp; Нижнее детское белье George пользуется высокой популярностью, ведь при пошиве изделий используються качественные материалы.<BR>&nbsp; Страна изготовитель нижнего белья - Бангладеш. ";"";"";"Трусики";"1.5 года,2 года";"Одежда, обувь и аксессуары,Одежда,Детская одежда,Одежда для девочек,Нижнее белье для девочек,Трусы";http://134.249.121.87/Rozetka/Photo/29352405.jpg
29352406;29352406;"Трусы George 10 шт 92-98 см Белый + Фиолетовый 5059186859655";"5059186859655";300;-1;1;1;"George";"&nbsp;George — известный английский бренд, который производит одежду, обувь, нижнее белье, косметику, аксессуары в невысоком ценовом сегменте. <BR>&nbsp;&nbsp; Над коллекциями бренда работают креативные дизайнеры, а в производстве используются современные технологии. <BR>&nbsp;&nbsp; Сегодня George — это одна из самых крупных сетей в Европе. Ее покупатели – это молодые люди, которые хотят недорого и стильно одеваться, выглядеть на все 100% и с каждой новой коллекцией менять свой образ.<BR>&nbsp;&nbsp; Нижнее детское белье George пользуется высокой популярностью, ведь при пошиве изделий используються качественные материалы.<BR>&nbsp; Страна изготовитель нижнего белья - Бангладеш. ";"";"";"Трусики";"2 года,2.5 года,3 года";"Одежда, обувь и аксессуары,Одежда,Детская одежда,Одежда для девочек,Нижнее белье для девочек,Трусы";http://134.249.121.87/Rozetka/Photo/29352406.jpg
